particle_id,x_centroid,y_centroid,area,perimeter,feret,equivalent_diameter,convex_area,major_axis_length,minor_axis_length,orientation,solidity
1.0,2248.48725078,39.2156721384,34.9011940209,48.4746476897,23.8015878122,6.6661518424,39.7550024609,26.8694612825,1.69134030506,-0.0298853095848,0.877906976744
2.0,785.808803022,66.4471112047,103.779047122,161.45411719,80.4997084318,11.4950244328,147.925590552,95.221388955,1.67163082634,0.00795439444585,0.7015625
3.0,661.364186451,89.7233267853,52.0050904285,44.3469132345,20.5372475918,8.13725615064,59.6325036913,21.3507432525,3.46574592733,-0.0478763795561,0.872093023256
4.0,1898.8789918,90.6294623779,60.5570386323,102.121043245,51.1806910002,8.78086648906,79.0477374513,63.2094302362,1.36961819507,-0.0107291567038,0.766081871345
5.0,203.863960572,102.333576311,38.5993337847,63.6599472448,46.4156686792,7.01043494907,84.1326796265,63.5797184456,1.48873931472,0.0241590988494,0.458791208791
6.0,2205.02271005,121.6332161,31.8964554628,45.1917878,22.3356257791,6.37274104543,31.8964554628,25.5303179254,1.57016766914,-0.0,1.0
7.0,1208.47818953,147.598949019,24.7313096704,35.2948889448,17.5340818665,5.61149547496,24.7313096704,19.8024782153,1.56608633527,0.00156662125535,1.0
8.0,1842.06869385,182.92660362,41.835206078,63.6599472448,31.9628089794,7.29837233503,51.0805554875,38.2152640242,1.50358157123,0.0213704985161,0.819004524887
9.0,597.203653335,192.256008274,87.5996856551,114.256788579,56.4816380118,10.5610313835,106.78378568,64.4896550311,1.80801879429,0.0166442963748,0.820346320346
10.0,359.1304839,258.1701069,27.0426470228,38.461096,18.9742089986,5.86785885854,27.0426470228,21.6432677003,1.57016766914,-0.0,1.0
11.0,2612.9507095,282.92943745,38.8304675199,35.0132640897,15.4902338963,7.03139294784,46.9201482533,14.1336443562,4.00111762404,0.16849005555,0.827586206897
12.0,1264.16814915,306.2464769,26.3492458171,37.4995686,18.4941277169,5.79214137848,26.3492458171,21.0879422087,1.57016766914,-0.0,1.0
13.0,1747.5760495,323.31358825,31.4341879923,44.6285380897,21.8826173483,6.32639322272,36.2879964323,24.8969376382,1.65384472025,0.0334687362242,0.866242038217
14.0,745.492797379,334.474174143,32.3587229333,24.7180875448,10.4146255223,6.41875421369,34.2077928152,10.0928984551,4.37427361741,0.0880296902764,0.945945945946
15.0,226.774914087,349.294676093,25.1935771409,29.2440996897,14.2183312588,5.66369655694,25.6558446114,15.4301679716,2.0720126716,-0.0191401427682,0.981981981982
16.0,1477.62723195,364.8996483,29.1228506399,41.3456782,20.4146521981,6.08936491682,29.1228506399,23.3091906115,1.57016766914,-0.0,1.0
17.0,1984.48053099,379.177863429,23.8067747295,35.0957501,16.3324345877,5.50560868735,37.6747988437,18.3169368723,2.64940442739,-0.159283992451,0.631901840491
18.0,109.974696375,435.607969478,36.981397638,42.7054832897,19.6502801311,6.86193689073,50.3871542818,19.6268287484,2.97486299297,0.139808654556,0.733944954128
19.0,1453.8294288,469.94651675,25.4247108761,31.1671544897,15.1747487093,5.68961750041,26.8115132876,16.2518170756,1.96873221471,0.0325772941846,0.948275862069
20.0,1124.77457761,475.838018342,51.7739566932,67.7051956897,33.4036339237,8.11915322243,57.5523000742,38.1607545133,1.80180779734,-0.0138376889186,0.899598393574
21.0,1443.2526274,482.92713665,34.2077928152,48.4746476897,23.8015878122,6.599599575,39.5238687256,27.1168114979,1.652960618,-0.0307168603496,0.865497076023
22.0,2411.39977373,515.600577338,27.0426470228,33.0902092897,16.131800438,5.86785885854,28.6605831695,17.3315900819,1.96724175454,0.0303500910248,0.943548387097
23.0,706.988387779,519.555774025,45.9956133123,55.4869643448,27.1612120425,7.65267494106,48.7692181352,30.6247069325,1.96683864658,-0.0130193226612,0.943127962085
24.0,2546.70898357,533.614654496,73.9627952761,103.28170949,62.7896605633,9.70424421501,143.302915847,79.6668305548,2.20766005177,0.0397988679598,0.516129032258
25.0,344.2268092,536.5322892,82.5147434799,115.383288,57.418167097,10.2499285082,82.5147434799,66.0591017293,1.57016766914,-0.0,1.0
26.0,695.692032612,541.533130304,24.7313096704,30.2056270897,14.6964525823,5.61149547496,25.8869783466,15.919006702,1.97812033694,-0.0300208351658,0.955357142857
27.0,1630.4107691,566.129484408,38.5993337847,50.3977024897,24.7613174059,7.01043494907,42.759741019,27.2604192545,1.80758459571,0.0265483728847,0.902702702703
28.0,1834.5942792,569.7049845,58.9391024856,82.6913564,41.0754984778,8.66277068933,58.9391024856,47.1834731427,1.57016766914,-0.0,1.0
29.0,802.037919652,581.318917269,57.3211663389,80.4041907345,40.1494018513,8.54304253373,73.5005278056,47.5852590088,1.70477814791,0.0266855516364,0.779874213836
30.0,2592.10616908,585.823446049,25.8869783466,32.1286818897,15.6532028885,5.74110830107,27.5049144933,16.7997142237,1.94139188598,0.034049427997,0.941176470588
,433.274416441,591.071232783,24.0379084647,27.3210448897,13.2166860223,5.53227038656,24.2690422,14.5384895462,2.11193874629,-0.00615735878919,0.990476190476
